Partido,Producto Bruto Geográfico,Impuestos,Valor Agregado Bruto,Total productores de bienes,Agropecuario,Pesca,Mineria,Industria,Electricidad,Construccion,Total productores de servicios,Comercio,Hoteles y restaurantes,Transporte y comunicaciones,Financiero,Inmobiliario y empresariales,Publico,Enseñanza,Salud,Comunitario y personales,Servicio doméstico,Región,longitud,latitud
Maipú,186493019.61897856,23519095.27731575,162973924.34166282,74343284.891939,60046605.711064346,0.0,10320.100617585445,4613385.115507615,6342790.988250871,3330182.976498581,88630639.44972384,32366672.560086496,762288.2844189627,14764043.516333256,3100485.2611689297,17602061.354393847,8266447.750364926,4725639.130734521,4423045.452636294,1210789.0847445014,1409167.0548421335,I,-57.5861191040646,-36.88693320831441
Malvinas Argentinas,5228668937.324425,966369744.6708956,4262299192.6535287,1841031676.4431033,133521.32114016998,0.0,537883.0174617952,1646196352.4105914,28660797.630146094,165503122.06376392,2421267516.2104254,740252879.381422,53967876.87086661,423001558.49701726,53169675.94157741,512730752.0908845,101322736.90991664,188202158.17891452,161174069.08345452,124236307.38112248,63209501.87524926,C,-58.71213724162299,-34.487311344554456
Mar Chiquita,520190436.62712204,69007564.71065241,451182871.91646963,246463591.77396935,133503418.46828158,0.0,10320.100617585445,27188241.29207659,12239558.970363287,73522052.9426303,204719280.14250028,46863717.39548166,4275017.208513217,37627934.25592012,3454278.3707807814,53990419.36272698,17771394.40621221,14899632.53988576,20930806.576553546,2959518.7557542715,1946561.2706717607,I,-57.6432660560119,-37.49864059832368
Marcos Paz,792826592.6748817,153335525.25935003,639491067.4155316,316047736.2715556,28641437.249131113,0.0,89607.32525484137,151979512.02118596,118451960.14631009,16885219.5296736,323443331.1439761,59246891.845827155,5267697.681012164,60617365.416301735,6925750.424847577,86725281.64259873,38284189.44917089,36150370.46975319,18250015.80898143,6458521.122965769,5517247.282517506,I,-58.8478312046275,-34.814002964759815
Mercedes,956375811.3182425,168750200.69445473,787625610.6237879,309743048.7957974,45364125.106379434,0.0,159667.34617777486,206919219.43996444,15624223.14681798,41675813.75645776,477882561.82799053,125046301.45241529,5404439.854771439,78181813.48992524,18103142.578104347,106181807.68875542,65475923.41563447,39422754.538745865,20167601.83769276,11873690.015556555,8025086.956389099,I,-59.420481139404174,-34.69732132630403
Merlo,6323225885.637987,1279961278.5399854,5043264607.0980015,1801404214.2099977,5258353.344866989,0.0,826417.0403450785,1643326899.6624348,60886969.25446531,91105574.90788534,3241860392.8880033,736602301.629321,53708360.54257457,559060531.1019564,84678889.81585097,825633242.1422713,266481648.85852295,275186937.5955966,250695810.2596987,123892313.80044337,65920357.1417676,C,-58.74195841400745,-34.71100327848002
Monte,439974752.7545717,71677595.7141281,368297157.04044354,221797481.36689404,96089369.7437247,0.0,26270.177962497473,98372473.93663605,12063923.28905005,15245444.219520742,146499675.67354953,38812251.675527014,1870428.7935601617,33634230.689263344,4108967.3205526546,34807176.08442475,12104703.193929488,10070754.118854664,5885586.54041806,2506664.084186155,2698913.1728332387,I,-58.7672358383075,-35.50982675832066
Monte Hermoso,175402431.42060646,17296138.150820695,158106293.26978576,93234033.14375693,1381975.8679621273,0.0,0.0,2561797.1244270676,2929225.917390264,86361034.23397747,64872260.12602883,15795121.592635132,4604481.117326474,8323146.510430774,1405855.5418574386,16959140.28423857,8323183.768750995,3491511.3435734087,3677192.3722047154,1946306.8781433403,346320.71686798194,I,-61.292146695533546,-38.96162378869968
Moreno,5712930554.79991,1165064213.43428,4547866341.365629,1563552350.532651,3491871.54418901,0.0,613791.6985528221,1299058056.3223734,43460003.731970325,216928627.23556536,2984313990.8329787,721207990.0824683,42924244.50569238,522191947.540194,54105458.25909272,807572643.806676,232306285.9146126,281350357.0738286,152645618.1466385,98070273.14471641,71939172.35905944,C,-58.81089850843214,-34.61068078658314
Morón,4735658539.369253,802757116.8087531,3932901422.5605,1283339659.5805466,29195.755670732084,0.0,1718488.0968942437,995330830.6441071,53191042.201832965,233070102.88204154,2649561762.979954,828616175.8515,69287642.52071542,372332770.3430723,146330753.02401507,588260664.833181,174144195.48531854,157085850.14613253,184880219.04697838,109575852.30130133,19047639.42773901,C,-58.61983171115767,-34.64938616325765
Navarro,373050690.94899267,58819236.25935013,314231454.68964255,199283111.6629879,106475827.220477,0.0,34056.33203803197,77715656.67566396,9688124.573093493,5369446.861715402,114948343.02665468,29514984.36902706,861189.0911245865,29041595.113604046,3385915.3047312,26744233.65009192,10286898.033653703,7362818.910747147,4572039.834000162,1160454.8868924857,2018213.832782378,I,-59.42935855410737,-35.03048448174144
Necochea,1658870643.4446542,222196454.51177308,1436674188.932881,569054591.9484318,332695353.19033176,1929050.6869223788,4842637.055482491,103386774.99934393,71473305.69620807,54727470.32014322,867619596.9844493,311875008.83551466,12405843.385742143,197112396.42884123,23723936.867514838,160513721.1470586,62284179.28419618,39285470.7446093,32725036.06381844,18020908.342220686,9673095.884933291,I,-59.16738694687353,-38.25541100461289
9 de Julio,958371254.1379929,130202826.82976758,828168427.3082253,432052555.6770504,295213949.825812,0.0,49991.45514217465,100831275.57843624,26301075.569121547,9656263.248538427,396115871.63117486,150615502.6248602,2296602.5710363276,76969835.57875183,11069697.895177782,77625154.0645799,26850136.347019445,19902869.590749495,18573758.256471362,5011232.210411532,7201082.4921170045,I,-60.97542544156492,-35.4812271476929
Olavarría,2761579796.765483,439415580.0586672,2322164216.7068157,1329488062.343301,244669935.91844082,0.0,178189878.05228,787282800.513619,44289832.6820543,75055615.176907,992676154.3635149,275461026.02353084,9207300.462682499,303940408.03017074,24785760.790517576,181647112.0958541,73666539.90611178,52085093.05122065,39605066.40577021,20885090.222068567,11392757.375588097,I,-60.670205401274366,-36.857634046571874
Patagones,532847419.29472625,72037624.56846878,460809794.72625744,209415976.9821985,162478867.25309426,0.0,6090790.380516122,16276133.328952365,11019705.98580922,13550480.033826567,251393817.74405894,80200668.35341263,1601312.738249079,43572675.45041798,5765742.454669398,53832613.29776437,32576522.334404234,15325621.59043926,8653739.219312876,4861185.051331004,5003737.254058084,I,-62.8528487281345,-40.19750368056085
Pehuajó,845386260.6512318,103836689.3575282,741549571.2937036,390161927.05590844,310470020.039873,0.0,63353.95101351066,37891805.08408835,24733949.492457926,17002798.488475658,351387644.2377951,118648934.6875914,1804073.5032024356,68842584.03927352,10702250.332412312,69226796.61573616,34424579.623344555,18955788.016560927,17277447.138288595,5605796.000944356,5899394.280440796,I,-61.92812573435128,-35.88362083427663
Pellegrini,237293965.11358786,23426302.58224224,213867662.5313456,156142695.30698004,146893028.7571826,0.0,0.0,4721893.2679689275,1222659.0751442313,3305114.206684285,57724967.22436558,15766928.178182144,99063.15654947975,17130174.22450292,2204417.266103158,10395462.646179214,5515744.583712103,2936946.647909965,2349660.2487534257,287608.1218692271,1038962.1506039458,I,-63.22575729643671,-36.27118962588466
Pergamino,1836151632.5219898,302550223.123159,1533601409.398831,695513106.5229505,223886178.99715257,0.0,106345.12285146292,399253230.89730227,38986274.971351944,33281076.534292217,838088302.8758804,287377237.25368345,6201306.794335829,145282097.25210398,34149106.35721293,196417589.39434433,55454471.554835655,47153109.81212072,37180574.0840793,16584395.97119335,12288414.401970807,I,-60.54478269502504,-33.83608889833079
Pila,107557965.82644294,11925899.017963812,95632066.80847913,71506563.45647445,68597904.27872418,0.0,0.0,589372.1788298986,133058.28049676472,2186228.718423624,24125503.35200467,2182279.8746134876,51971.77471564508,8456635.645563379,456068.7026367462,6096775.463192659,827602.9825959412,2181762.323104515,3360806.861415885,69742.25781760368,441857.4663488046,I,-58.34044305056631,-36.20298422407131
Pilar,7311281406.549425,1076610751.0709176,6234670655.478508,3681796979.7945595,13492169.365982553,0.0,944062.837597884,1526473948.6548576,29937626.43154894,2110949172.5045726,2552873675.6839485,734753560.1478393,99941846.11580177,452320783.03291833,55129901.61431894,587294011.5156693,102433945.54320109,194319664.6044683,159917052.46618655,103935555.76621917,62827354.877325974,I,-58.90333273036289,-34.44816400539137
Pinamar,540571554.7338674,76847229.84236355,463724324.8915039,137084716.51348466,0.0,0.0,860.0083847987871,24877641.50649942,21784442.215564415,90421772.78303604,326639608.3780192,108763665.68467236,46159192.06920306,49754229.72512162,5299930.319743356,59866913.581123576,18299835.826858643,16604990.951580053,10124990.859714936,9174425.030334322,2591434.3296673135,I,-56.87028341221286,-37.11107429053595
Presidente Perón,915916547.2623647,188929403.80659953,726987143.4557652,244254624.3780572,3555886.68990417,0.0,48447.13901033167,154933630.44300765,9867545.4039633,75849114.70217177,482732519.07770807,86596385.71468234,9809309.385942403,84785105.40371764,11965404.3265081,143346648.82518116,34923135.98040873,50167295.034449734,34777038.96938523,15482948.090304065,10879247.347128676,I,-58.39808421053574,-34.929847840660656
Puan,397435379.8569639,45226323.822102234,352209056.0348616,199804652.71793082,154773415.06079325,0.0,79713.88063238413,23301393.505460463,15963492.190698719,5686638.080346019,152404403.3169308,54817157.14793958,491369.14245967346,27688972.072861783,4046409.4726285688,33629484.58487842,13742019.610190105,4797600.383766247,9137314.699714404,2441893.555003155,1612182.6474888816,I,-63.05741996350521,-38.076062192973495
Punta Indio,147013060.1829818,24073252.348511994,122939807.8344698,50009060.465226375,25048188.834626667,0.0,42111.95495297728,13757652.18476916,6996744.627827229,4164362.863050339,72930747.36924341,12507707.863905072,289585.7475988929,11563790.355840467,2437185.894718623,19216273.858680952,13662388.608853033,5226216.390326155,5819888.104228338,953790.7081560607,1253919.8369357968,I,-57.39923404019261,-35.426055876666695
Quilmes,7742175721.513673,1448379238.6756227,6293796482.83805,2063996519.7532156,25045.65557371454,0.0,2860255.2387325717,1759833347.9706912,123713357.83026333,177564513.05795473,4229799963.084834,1040637327.0740886,111171935.46620971,639909109.1552635,192114446.61424816,1061295075.9917322,309882979.244716,347173355.8070257,301393873.03590345,170571704.1230672,55650156.57257917,C,-58.27685802099024,-34.73497079923798
Ramallo,683128178.3739979,124824867.20067161,558303311.1733263,309271161.3856369,54119192.18904638,0.0,496219.8014081149,229036675.56986168,10861319.479489934,14757754.345830774,249032149.78768933,78856703.6067604,3338532.5433229087,53222381.26790374,5477430.676284408,57128374.29071671,17808738.327295266,17153436.422363833,7345836.312003765,5368872.202894629,3331844.138143689,I,-60.0575075532403,-33.58718654444796
Rauch,257430121.37528905,34884744.88842956,222545376.4868595,102708257.29846244,79304646.04963766,0.0,10320.100617585445,15067875.608055469,3696973.656662798,4628441.883488925,119837119.18839708,39578743.956804544,628870.8116361806,21066687.196099684,3795134.286847758,26133736.648488376,12817129.281413997,5682678.008969797,5367472.2991090985,1876680.0272327624,2889986.671794884,I,-58.94414136661356,-36.57219444905631
Rivadavia,515026968.2370889,56560363.8896797,458466604.3474092,302399789.3148149,263206784.0239868,0.0,42292.17704069331,20794888.328694664,11071156.426841797,7284668.358251002,156066815.03259426,52884257.59663774,659569.0326725793,40549251.05845706,3943831.1534483535,28654249.911999352,11363490.039171271,7543872.32878219,6312563.345993116,1003017.8325654324,3152712.7328671464,I,-63.09476060532436,-35.58105621230825
Rojas,636458131.6305038,91813272.95534882,544644858.6751549,318282381.7307393,143212685.5594027,0.0,0.0,146397320.3385368,18033409.99716789,10638965.835631892,226362476.94441563,87796238.57213688,2354159.3486192417,46893975.96226449,5699554.425890375,42530088.59362526,16569523.472703602,10093786.825796695,8498008.22875205,2440050.158576992,3487091.3560500257,I,-60.78802346478486,-34.19281738957139
Roque Pérez,349682388.69873947,43818177.96537499,305864210.73336446,208392665.94953412,160873007.1289214,0.0,8600.083847987871,41009465.55225016,2407868.7415306773,4093724.4429839095,97471544.78383033,26307313.49225589,717988.0477944273,26749213.780501325,1720416.7478742036,19355408.69872112,9460751.747208592,6164259.866170773,4698801.157179042,983760.9407636325,1313630.305361311,I,-59.35751181598193,-35.48163570133388
Saavedra,449051305.69130725,58322504.6533951,390728801.03791213,204760446.8872873,130418067.60623358,0.0,2426589.8600881556,46395862.91384052,15614110.645332893,9905815.861792158,185968354.1506248,70991922.26423779,1122144.385642925,33250077.214386262,5139665.234959214,34908203.79210598,18227808.7969191,7151925.604366904,9547660.611384122,2941975.167474348,2686971.079148136,I,-62.434382913662354,-37.77063813310089
Saladillo,609627673.6009432,90770197.33146301,518857476.26948017,270940251.3285477,152770555.99879566,0.0,108693.13893026256,90330791.96372995,15921704.514476353,11808505.712615503,247917224.94093245,80764929.14327285,1234472.2376311342,47187765.87832278,8844643.747902464,53785841.252858795,23035761.162164982,13286189.811250366,9602863.844177408,6568245.570450643,3606512.292901054,I,-59.70266074454165,-35.676806452055615
Salliqueló,227940391.35137415,28531474.33007572,199408917.02129844,124460776.31710455,93229093.55046275,0.0,25331.156061346093,25207158.773428846,4759414.075439428,1239778.7617121781,74948140.70419389,22027996.30214068,775544.4737624195,17151407.84442545,2215471.525325721,15395714.127441945,7723857.048957826,3877515.5694872485,3288501.263697345,724702.6835600361,1767429.8653952184,I,-63.04797352661801,-36.67177753536309
Salto,824777953.4280418,128059133.7696267,696718819.6584151,414044741.05176705,170787949.959027,0.0,35088.34209979051,199908970.57223454,18869301.92909092,24443430.249314796,282674078.60664797,106778340.76145528,2742917.5161841307,63540570.23826368,6966358.8553073965,55131968.73530775,14957421.139218906,15291399.903251775,10274231.281145588,2978326.69831892,4012543.4781945497,I,-60.30528786872549,-34.271077786927606
San Andrés de Giles,468550707.14421207,75747618.8096686,392803088.33454347,225410474.73157176,86172354.65024757,0.0,10320.100617585445,110773708.88636354,4041011.3232100126,24413079.771133065,167392613.60297173,48275153.47472991,1447501.8465726068,35917249.32953054,4166471.0861836807,35823708.9878467,15052280.922707612,12320664.883657815,8369513.622976214,2855414.6222143993,3164654.826552249,I,-59.4731985904796,-34.437731429026705
San Antonio de Areco,466496194.7533998,71560591.27369565,394935603.47970414,186328436.6919453,59939841.54350469,0.0,127593.97127196554,86061835.71335264,15520198.093197785,24678967.370618235,208607166.78775886,64777980.48297861,4895876.499325373,35828322.99858699,6296240.380894008,40204751.98579773,8627071.0483087,16866388.864661,11378316.556697905,16042111.021811755,3690106.948696774,I,-59.5194434817456,-34.22075756601425
San Cayetano,361388094.0406327,34058422.90604307,327329671.1345897,245197460.37885562,227401576.6854797,0.0,45408.442717375954,7430623.753178161,7479525.497363314,2840326.000117089,82132210.75573403,21075546.000644267,402561.82253338775,25338501.728480715,2060173.645180242,15310822.6003842,6606930.961170913,3351900.637745674,5800821.453354226,751900.664028066,1433051.242212339,I,-59.58632644005259,-38.38907319734408
San Fernando,2769444513.627982,441351412.7701051,2328093100.857877,1005784882.3157506,3517614.825624268,0.0,795835.0947704625,604071161.9189271,25803533.23860907,371596737.2378196,1322308218.5421262,429661149.1869588,41914885.75664528,202448062.08184433,43826372.0533891,282175843.989875,67531448.783841,69647324.34515376,78070349.13731179,77404448.77436718,29628334.432740115,C,-58.53458165688239,-34.15583611197679
San Isidro,5416417034.107901,812709025.542978,4603708008.564922,1564561217.099556,0.0,0.0,2990213.2041457593,1079293375.9924908,44170458.675366566,438107169.227553,3039146791.465367,1105982060.8962545,105207611.18412587,388518300.0191132,169408396.34608132,616745663.1046133,132971996.89566632,149888004.3530941,152987918.3597895,184405009.1736346,33031831.13299442,C,-58.53720907659796,-34.48689295456971
San Miguel,3878441207.2726774,729428648.8545904,3149012558.418087,1122504725.2567883,0.0,0.0,883779.7652922762,873718527.9856801,39454368.65953007,208448048.84628594,2026507833.161299,503378556.9918314,47535449.38226519,321510580.5125064,76531074.0887179,474558720.42028666,154185833.33872974,148168200.95791227,159016807.7511794,103300431.08237508,38322178.63549498,C,-58.69178352300796,-34.552134348760106
San Nicolás,4868013346.964138,947583073.6217724,3920430273.3423653,2753837066.259557,26348397.55626373,0.0,706377.9716176385,2500566571.353773,114144236.41138925,112071482.96651308,1166593207.0828085,288220115.0324907,14245042.875706496,342459783.45305127,31525244.937583465,256021568.79584265,75556489.52838175,58508358.49048265,56611064.96083382,25245788.232338965,18199750.77609671,I,-60.29313520389947,-33.482973203953385
San Pedro,990542930.5472887,158366928.13756078,832176002.4097279,400390798.146223,189855249.73636302,0.0,2420950.9211846045,145349745.33703825,36021844.91134155,26743007.240295615,431785204.2635049,123069822.46006624,9099105.696971811,89266470.53466928,10711198.422761165,101634521.60588516,34709253.01795069,32185055.060024068,15531905.03763733,9666536.05341324,5911336.3741259,I,-59.78262676124897,-33.78098661235622
San Vicente,1129185839.7246208,196984259.1853636,932201580.5392573,455399494.3299324,19150565.193771575,0.0,639745.7056678362,178155859.45996657,11525248.818947066,245928075.15157932,476802086.20932496,102238376.00647837,5916106.3821140155,86019003.69700131,10477538.517351773,139313729.28014126,38904520.27241355,50592749.023329854,22325550.563552238,15174828.654927231,5839683.812015282,I,-58.43181206032507,-35.071508716932144
Suipacha,189439818.74312145,30348253.88026396,159091564.8628575,79507178.32703885,35755671.82801401,0.0,22054.040850992395,35597160.92555117,4378817.937877293,3753473.594745397,79584386.53581864,22794585.44595492,266783.4685550495,14918735.492611919,3074942.0795711377,18253602.944051534,6283296.0748167895,5575500.309051273,5772550.886255964,1079975.5622015828,1564414.2727484703,I,-59.7033860486745,-34.7485741353289
Tandil,2360386490.503796,329646090.08834183,2030740400.4154544,866821654.0482986,451539222.4117292,0.0,14195485.609173723,240633329.63319588,35393502.537994534,125060113.85620536,1163918746.3671558,463841104.6543611,35011174.518429175,192615504.44472843,36693367.78072306,215313796.41937137,66158940.929289274,50207248.71742155,55962685.15929323,28494063.81891463,19620859.924623944,I,-59.18198278964916,-37.33642931678382
Tapalqué,172842526.13380253,22280589.526788995,150561936.60701352,80604438.47607319,64597350.518080175,0.0,4300.041923993936,3441062.980920475,2553342.9889362277,10008381.946212323,69957498.13094033,14254031.221611094,266307.3654299188,13107779.210869458,3331757.391701056,14749582.773427501,12381946.692649871,4600739.786693856,4797455.808694148,879599.4197447376,1588298.460118676,I,-60.1310650281927,-36.34714364042298
Tigre,7784758791.60374,1346454363.6883059,6438304427.915434,3041873673.0233293,321598.8854778268,0.0,1924937.7878446972,2337772430.7619576,45918255.371511474,655936450.2165376,3396430754.8921046,1094188550.5293045,116768282.31943402,694928070.8761662,90965878.03097744,699489016.5858742,116544634.64228004,213375248.43699658,136767645.829508,160305872.19504938,73097555.4465144,C,-58.588173872599945,-34.38201990803981
Tordillo,42985908.81571009,5289563.189430019,37696345.62628007,21371494.445494205,19348398.80810735,0.0,0.0,499616.7032084464,665291.4024838236,858187.5316945852,16324851.180785863,2054796.061653098,48700.31191760063,3342963.279720168,456041.8751641271,3613572.8796788566,4421640.432038339,1161293.6170479767,1095527.9671985127,34778.00688636184,95536.7494808226,I,-57.27381164494107,-36.390515121940616
Tornquist,307420744.615966,39228444.22532938,268192300.39063662,159188603.2529874,85385893.19349487,0.0,3322861.305088676,22428793.0074252,26177478.784972098,21873576.96200657,109003697.13764922,28611426.311657533,5284720.155463045,21353436.197026487,2488569.37312568,22267063.699148256,11995805.45385987,5833243.785367077,7730671.491864957,2125130.3647749997,1313630.305361311,I,-62.29056599774858,-38.25764216358462
Trenque Lauquen,1116505427.731359,131029210.57465135,985476217.1567076,561107873.7612398,451171554.007584,0.0,144670.00697619596,67766981.76289296,22281726.628369175,19742941.355417475,424368343.3954679,149601374.10799217,3012534.74569231,83334146.4536643,15979544.46428687,74965330.6745427,39566709.279132724,26867334.991839815,19646755.750251956,3668078.3138035447,7726534.6142615285,I,-62.63507978320753,-36.05676627217776
Tres Arroyos,1359269884.7395394,172072689.6287505,1187197195.1107888,679935121.7028724,455557199.0813173,0.0,964161.1968139841,132154413.78334527,35433771.57022271,55825576.07117311,507262073.40791637,182039636.99767095,6797312.572342109,99202983.05561149,20962698.9168205,109721055.21260226,28394306.09771648,22937250.03403419,20000921.65138906,8583717.22908508,8622191.640644241,I,-60.237417324749416,-38.51181427533482
Tres de Febrero,5962837719.7825,1061016665.5892044,4901821054.1932955,1939780450.349265,57748.0440878008,0.0,1668058.058349372,1771062372.2750487,63100867.890450194,103891404.0813289,2962040603.8440304,915116289.4482973,71255275.84819725,459195672.7810571,147672754.73975432,660503350.3144491,158027256.3292129,159757665.086663,206764266.98064637,157200798.05376962,26547274.261983585,C,-58.579188399544506,-34.596010073528305
Tres Lomas,199526099.82110843,23053228.245397247,176472871.5757112,112645944.83780967,100792684.43253072,0.0,10320.100617585445,5539648.834862602,2158359.196570908,4144932.273227853,63826926.737901516,16602251.066293877,271945.7698019708,14915145.800200397,2665923.4981976654,14240420.691543987,7246286.187260941,2966970.6502726786,3383650.362980172,602849.4039117984,931483.3074380206,I,-62.863907772543854,-36.497100216315246
25 de Mayo,729617607.8218057,87898180.04599836,641719427.7758074,397627735.83983666,341684208.759037,0.0,171087.10815740825,33862349.995497234,10776638.236623865,11133451.740521159,244091691.93597066,63568096.910541266,1049617.211519223,57722837.66175334,6085292.47428802,52904051.529271305,26557174.33324261,14685043.29836399,12190689.136872098,4874488.435575416,4454400.944543355,I,-60.2302837885281,-35.527208971909204
Vicente López,5403209885.708752,808786004.8892121,4594423880.81954,1509243483.2413862,0.0,0.0,3195812.7525986657,1151445516.664544,46204831.01019721,308397322.8140461,3085180397.578154,1295783900.639247,74962147.76845488,391138528.95449847,176237235.3892781,597114618.2310126,106167777.7977537,100087400.98517177,149966559.14171383,174674589.24328482,19047639.42773901,C,-58.50448651303782,-34.52653142374062
Villa Gesell,447089735.550342,70099390.41301459,376990345.13732743,78075443.71303873,0.0,0.0,10642.603761884991,23344211.365568258,22448965.75047114,32271623.99323744,298914901.4242887,89055733.91688886,36700912.978417195,43855447.38717755,5424432.136913664,61555503.008164145,21093358.046716202,16329619.44542918,10014333.110916285,13297262.933546944,1588298.460118676,I,-57.06339788227943,-37.3670719559948
Villarino,560055696.1558598,72951243.31006221,487104452.8457976,263485571.45293298,141020405.01038703,0.0,58246697.485076815,33120297.151459247,24748434.349359687,6349737.456650209,223618881.3928646,64296366.110699676,1832422.2383471667,60593906.468596116,3720546.432983582,46275832.12441486,20670334.547053672,14514516.32211815,6827073.096244834,2511407.4090710892,2376476.6433354625,I,-62.72651337506887,-39.13020024373348
Zárate,3016084138.045131,540258689.2938222,2475825448.751309,1523887806.246618,27913512.698672693,0.0,3719037.5705911815,1120407973.9057813,245225197.24842355,126622084.8231492,951937642.504691,270658007.20343506,23917870.06380892,198423801.7827066,23489303.562710784,236989841.3599878,58229547.20172959,69110573.70084614,41826763.20643025,20287595.784468353,9004338.638567531,I,-59.12821530058707,-33.997089798307286
Total Provincia,258166727440.52933,44395993127.26898,213770734313.26035,92441301348.96469,15253862286.20551,508987300.82186,744741775.049566,59463273652.93459,4003941742.649412,12466494591.303738,121329432964.29565,33639218601.58318,2670336008.3059077,22361329013.016964,4210166947.432411,27343461392.55107,8672409904.563023,8817656385.116302,7332802316.525232,4465648003.603749,1816404391.5978253,,,
