Partido,Producto Bruto Geográfico,Agropecuario,Pesca,Mineria,Industria,Electricidad,Construccion,Comercio,Hoteles y restaurantes,Transporte y comunicaciones,Financiero,Inmobiliario y empresariales,Publico,Salud,Comunitario y personales,Servicio doméstico,Región,longitud,latitud
Coronel Suárez,267476.3631895979,114181.81846118953,0.0,11.475711152800454,18098.3529496816,3495.92651389635,8269.95382895862,38686.01469676977,910.6263776773794,12000.855677949394,2474.9924619159265,15228.7187857505,9116.090874447958,5605.774672149128,1681.268368231706,1685.517602452367,I,-61.88909224221714,-37.53485625022395
9 de Julio,256323.29442148097,80172.95108199926,0.0,4.119577712575258,24506.40348112096,6703.000950527734,2575.51384912922,48506.05475234279,825.2346952555499,12323.02173111517,2984.118455413936,16284.10152901951,9184.342010540227,7290.156534786713,2086.5751661334943,1896.207302758913,I,-60.97542544156492,-35.4812271476929
Mercedes,242433.02463993372,10472.581442967432,0.0,13.157489392323912,43379.3381768102,4109.157833692058,11131.049906621394,39968.35367584622,2058.577890421471,11171.329285837212,4828.292925658545,22727.80119789041,22363.326822789622,7899.720487174102,4914.947046810691,2113.186247850729,I,-59.420481139404174,-34.69732132630403
General Villegas,258641.54527370332,141564.43146038387,0.0,5.309469238339039,8280.96277689076,3562.953306357578,1193.2942721822922,31858.36090184221,565.970131023292,12508.549543515124,2168.9933653584094,11177.29901482962,7196.146555040898,3946.0855837068593,932.6284953966764,1402.501587115216,I,-62.95376490781935,-34.76871192027906
Presidente Perón,238315.3583468578,677.792195018628,0.0,3.992317357784273,39000.49575232393,2223.594148293411,20327.07325910308,27747.047601787184,3775.2110700603575,10676.633609997978,2646.905345489356,30271.491762545666,11945.763364552266,13569.465000514074,5941.190906880499,2864.7509996904973,I,-58.39808421053574,-34.929847840660656
Chacabuco,230456.13148162985,42093.60524566597,0.0,7.655520872061047,37806.43613794159,6291.7743880994585,7648.893458177582,37596.03780039887,831.0564146630659,11094.112032125497,2789.9273729018537,18294.43088892266,10058.546458582015,9666.548195042998,2028.302441579957,1295.5844257656254,I,-60.3543081129856,-34.6182002951859
Lincoln,226693.7347383444,85860.18184123431,0.0,6.080606437240662,17392.88416525328,4220.535823049945,2958.4774053700444,30547.31244848682,644.8535951446291,11513.869798273628,2883.5761208352087,14663.834941999135,10278.415079667036,6663.447070880239,1866.314793879872,1559.7327067469666,I,-61.6824583851243,-35.07044796967019
Pehuajó,233622.8883594357,91004.48707628156,0.0,5.220722698640973,7944.78145411661,6361.982331655165,4527.528651668955,37719.30346631175,654.3968042291204,11184.99788292874,2903.2316146151206,14814.986259390393,11775.26701714779,6619.296130354179,2197.2111095694604,1553.4434619616966,I,-61.92812573435128,-35.88362083427663
Salto,199267.25031557705,42646.61141116598,0.0,2.8914771869396154,39028.07877228588,5266.607462197478,6525.714328408371,34490.43643091682,875.6740922207882,10352.05995925116,1855.342833428664,11682.706242222566,5116.319669841413,3977.512568980978,1262.768016975744,1056.5931239253646,I,-60.30528786872549,-34.271077786927606
Marcos Paz,231960.6905808625,6805.5499826966825,0.0,7.384148730087727,33548.206553082935,57532.91854920736,4494.30464585713,18996.096890396584,2122.2028224472056,8078.600399762006,1758.6519697362846,18206.16613473241,13095.4723253439,7151.101073943536,2421.284602932119,1452.8155453973764,I,-58.8478312046275,-34.814002964759815
Bragado,205901.74083735564,37331.125304240064,0.0,7.717692785728532,37440.11591247192,6177.741402237249,9940.859221654551,29086.68126955239,966.034549714674,9688.91218562222,2940.956943390294,16370.917311742623,8821.941692382657,5848.589874830224,1794.048840073114,1339.6091392625156,I,-60.60404665279604,-35.06141227089899
Benito Juárez,202486.3846632449,64614.71404613218,0.0,13610.613650197804,35137.01235187778,8647.184335287182,3721.4895604181465,11995.073852989124,393.4639558014852,18122.013026663,1095.935749451081,6706.860143791925,6475.150145238615,2478.5118873039382,805.0997097464373,613.2013665638275,I,-59.88839784064821,-37.58611070590435
25 de Mayo,199336.4699010717,97931.1708053894,0.0,18.566073878227307,7263.740803257152,2811.765383352604,2964.937350037611,20270.72197724509,400.5349653776693,9447.737311151268,1666.3100196883413,11158.039790229368,9084.142759637343,4710.582445350339,2014.6244596091003,1172.9441524528602,I,-60.2302837885281,-35.527208971909204
Exaltación de la Cruz,174886.06188217617,32104.95831580281,0.0,80.83973618527072,29715.143442126795,2344.365976619073,22066.1208168853,15731.120617467695,1123.993013716825,7899.470056798246,1376.5978033912445,13340.093231352315,5124.373747846307,6693.560200071421,3140.57253019131,1905.641169936818,I,-59.15594613160004,-34.2951342237252
Bolívar,202396.2707340108,82003.673110476,0.0,5.721104594479454,10015.8860954222,4675.357339209599,3427.701068784132,30203.943445990128,898.136244710665,9733.649049463624,2384.874606878968,12305.79602585897,9808.724412092986,4623.407761062269,1857.14252735486,1179.23339723813,I,-61.14986008524724,-36.29894795840004
Ramallo,169530.28600172736,15421.992622999143,0.0,92.88126799706096,50944.05473140175,2835.9007015636817,3941.194928955019,25250.869115131987,1181.8404818469169,8308.789699925199,1383.983205237099,12072.89956391376,6091.64312522804,2838.5409036697224,2087.263383690872,877.3496475451688,I,-60.0575075532403,-33.58718654444796
Coronel de Marina L. Rosales,181140.0099568206,11549.394245645064,69.60488338138364,28.984803226537466,10865.734584274256,5324.737830523151,10367.002841577169,27463.77321084321,2136.078829771679,9928.130001392785,2291.815369624318,17411.07944366549,34437.57233671529,6786.353118062809,2656.691243547169,855.3372907967236,I,-61.83558441965541,-38.849077328128345
Lobería,190868.45898698847,127056.92080650057,0.0,1788.0559900722812,1714.792385241919,1255.2311162139652,2486.2262055826186,12085.35154120592,172.03373443046303,8320.50494211154,934.4031004448988,7203.522434307202,4732.67380786092,1914.2988701872127,644.6622209776027,735.8416398765931,I,-58.693549778673294,-38.09005281868384
Rojas,167793.048731765,39426.42074134472,0.0,0.0,35636.51810147278,4447.732132752969,2841.18382146407,28411.02506681936,833.9759822588808,7880.411985423371,1524.3628278602662,9038.688643311816,5667.766174989664,3282.6543640942987,962.7823394852772,918.229738649424,I,-60.78802346478486,-34.19281738957139
General Alvarado,179974.84993569856,65461.36559102261,0.0,0.8504344667469457,3803.580703654216,5454.876944414974,4543.892041938395,24301.53743573189,4174.557857025129,7742.679188088095,1449.103536747535,15783.56154092062,8086.381804778177,4478.899501382199,3758.375936990648,801.8787101219284,I,-58.07180537257197,-38.20262771283584
Chascomús,165567.95753124135,26216.17104838668,104.08452674653483,12.168299828370882,21804.35004225685,2789.514248538788,4105.015567345674,29074.50426706845,3390.111528810969,7309.022780443444,2521.314971374167,14267.095127526129,12634.863036909916,4463.873586359564,3890.9977833198072,1286.1505585877203,I,-57.90398106850184,-35.61868830875692
Baradero,154189.0965193621,21427.258188637257,0.0,9.530342310116811,34714.54734782022,4943.640302910133,5373.198929676655,17577.79045780836,1049.27950177525,7232.823678923811,1745.6248289770472,12960.040381111448,6250.718596334006,3641.7585771854433,3853.445605529877,949.675962575774,I,-59.492787138057245,-33.931961377132964
Saladillo,158885.03917310297,46077.426883505774,0.0,8.956927366357066,16120.251305049236,4212.341238904271,3142.1318151140827,25499.92295788408,442.9722994031981,7378.952959736427,2473.2164907919564,11380.36634562704,7879.605344145761,3742.2208868493385,2476.847400025384,949.675962575774,I,-59.70266074454165,-35.676806452055615
Lobos,155828.0789624563,30087.979556677103,0.0,6.803475733975565,18528.430040635143,4160.748428688048,7262.057825789008,26601.625935985223,988.4962485966976,7077.440014087759,2728.484492370006,12941.380551257673,6299.493326165189,5183.806286512281,2353.462389554399,1106.9070822075246,I,-59.14574188278556,-35.219585786144144
Brandsen,135455.72939809662,12490.446961553807,0.0,31.1419909153648,26781.321110786703,2293.3179813654447,12642.29966829789,19454.62297890919,712.1585200091034,9155.606285419237,1329.2716931409443,10258.5287439877,6578.348064700689,3435.8496019745226,2351.1803309191555,792.4448429440233,I,-58.17523390391321,-35.22251979918446
Adolfo Alsina,172485.94054172808,101312.74573944903,0.0,8.272837507077233,5494.547700637969,3364.063463037392,1522.0430151436742,16494.672733661166,613.1372025377711,7498.507451704918,1099.283313283278,6736.948283109112,4833.29074724786,3064.2799056973035,826.8617569195402,726.4077726986882,I,-63.05605668972841,-37.19676038238834
Coronel Dorrego,182316.587517863,116827.26660578046,0.0,4.996302492138305,1599.862673112653,2106.9951373729664,1491.572883441366,18008.09422993597,312.0410115193422,9832.663156695122,915.3290043630792,5620.225915054329,3980.550803977559,2631.955420080132,573.7738393772257,499.9949604289671,I,-61.09555057289474,-38.67081760804668
Coronel Pringles,158583.1714419502,68027.14570453078,0.0,221.5386648449507,4971.652801907429,1951.533032059664,3175.146107990916,18388.51119458487,389.8457989111539,19721.124190817285,1507.4422791847023,8716.081193770196,5812.193400637885,3019.844720367535,1150.1786448305982,1308.1629153361655,I,-61.264417452992376,-38.147917268965685
Arrecifes,145878.06166324558,26904.64505487435,0.0,2.9641954964150794,31745.112558166053,1519.9081370203437,5261.588478945691,22742.9009068454,445.45926424165566,7179.355144749442,1608.4883584752688,10150.580455359825,5138.578875576861,3012.2029067907274,1732.4167031542454,628.9244785270027,I,-60.062664147779536,-34.01181191813995
Villarino,155248.56749177564,49184.233564289694,0.0,11056.27227267296,7286.133816597033,8618.954561134611,1684.7250899536386,20402.763643282266,621.3565111350078,9367.245069696412,1041.0630769255906,9722.455768947231,7070.487642998026,2599.2773018787966,1062.1645145100329,625.7798561343677,I,-62.72651337506887,-39.13020024373348
Pinamar,146051.83292571089,0.0,0.0,0.0708695388955788,5860.079888143645,5746.00113675178,24278.335569155915,34289.44866932808,15270.970089780203,5928.5857280116015,1438.4904243405915,12803.997264634712,6259.628353183295,3893.0875812497256,3355.15190571019,682.383059201798,I,-56.87028341221286,-37.11107429053595
Patagones,159423.36620134502,59527.737693186544,0.0,1156.334285852324,3475.343544355488,3239.090620528132,3606.2763949973255,25167.501490110943,596.0570702778965,6511.177865716876,1541.3292517712102,11198.7863298066,11143.123976960338,3348.117360987133,2135.5019527002846,1317.5967825140706,I,-62.8528487281345,-40.19750368056085
Mar Chiquita,144476.0382032973,42701.13224917537,0.0,0.8504344667469457,5705.824139271392,3233.388210607107,19711.69320748023,14961.23996824836,1497.6487447196153,5473.82328744761,893.4516710881255,11109.566917424036,6078.873706049008,7947.262538115715,1118.811090025535,512.5734499995071,I,-57.6432660560119,-37.49864059832368
Rivadavia,142942.31525989427,77200.6886484137,0.0,3.4851137951002293,4275.113645886546,2908.328896885337,1933.829241634356,16992.294143952164,242.698297007608,6979.444117600012,1092.0697140893735,6082.323638585981,3886.990398314502,2391.1952773793846,342.8590293317407,830.1803116556434,I,-63.09476060532436,-35.58105621230825
Guaminí,140392.63548870865,85267.52678140203,0.0,3.0015334120480435,871.6983270910471,675.9970055771901,4131.203193886866,7682.423471901078,121.571461700814,16247.820385720248,757.2409360707526,3824.054516791529,3992.9387135701336,2254.3117373316104,206.9209245876097,399.3670438646467,I,-62.41853106096796,-36.89067551095447
Carlos Casares,121293.15628959624,32694.56040564842,0.0,1.7781811577436135,5784.667228693679,1053.27528328617,4089.715722857951,22133.330389489245,351.17021207374347,16001.93970939282,1775.958854699572,8265.060760289007,5529.641187102772,3825.527709737283,897.3182928889772,1015.7130328211092,I,-61.37437778676063,-35.74992221420362
San Andrés de Giles,117359.30834792517,23235.188244799487,0.0,0.8504344667469457,23644.699892335026,1065.146827098024,6550.235098712734,15250.756437226562,549.5509001029419,5634.824679037517,1092.0783178739312,7621.113650564711,5148.776338516447,3188.0325840693054,897.7832504260152,833.3249340482786,I,-59.4731985904796,-34.437731429026705
San Antonio de Areco,124222.27406291824,16612.84255297039,0.0,10.51446249796224,18702.501272808346,3911.419414852511,6617.987004393718,20963.81732904529,1587.4540734760742,5441.575708142852,1663.4365490682403,8701.318861381149,2950.964006611385,4437.917952878465,7732.948913556334,971.6883193242192,I,-59.5194434817456,-34.22075756601425
Daireaux,131932.96055677175,68443.66164478532,0.0,0.8504344667469457,5571.168461093526,883.2405645618226,2240.0245905186844,14272.258698880582,200.57482628299465,5979.875909353302,1224.2077144628631,5518.196896613777,2659.1542773624683,2716.774279374002,4998.366883867188,600.6228769932876,I,-61.89124955261026,-36.640869217651705
Saavedra,128823.07594665705,44016.74975275014,0.0,451.764839675568,10337.45599368704,4085.058569662098,2636.8783310757976,22923.559979664267,418.6872907839873,5328.396617938646,1397.068011537168,7350.234009602248,6235.002575278017,3645.734100452434,1181.7966669953146,707.540038342878,I,-62.434382913662354,-37.77063813310089
Villa Gesell,120866.62277134604,0.0,0.0,0.8770105438327878,5381.648739889704,5911.981638829236,8635.53545982773,28488.024973893167,11847.163493441838,5193.326067093051,1411.7902037073816,12918.201755321346,7215.18407023108,3838.7584619695767,5289.399514551998,418.2347782204568,I,-57.06339788227943,-37.3670719559948
Monte,109525.40374499097,26692.74350482948,0.0,3.8795191663926953,20221.09313703493,3067.304392959067,4085.659142303317,12030.592722661524,608.4540519689822,5277.002314924312,1079.7901110571026,7458.470821629381,4140.526751424943,2257.335057125763,1016.388077150389,710.6846607355129,I,-58.7672358383075,-35.50982675832066
Colón,111376.52621062745,18744.097945332003,0.0,0.0,24205.8396619316,3293.5563917397926,2891.073730327179,14706.87284534103,207.7801315352021,5224.112181454693,1450.1098923710426,8648.970624712738,4501.7665133137225,2858.6351125057795,1376.7704100282538,757.8539966250382,I,-61.06311193983571,-33.885921464951416
Las Flores,106826.45948883003,28939.097475732124,0.0,16.000051150051334,9624.842062547596,3372.722751220957,4210.918545282469,12664.609811665625,222.377848342773,7783.132331964218,1461.8979211335422,8963.724154602989,6204.538757522908,2308.473895592246,1125.5020614834432,632.0691009196377,I,-59.17646094976033,-36.01582665716056
