id,Partido,Cantidad de habitantes,Superficie Km2,Densidad hab/km2,Región,nam,longitud,latitud
371,General San Martín,450537.0,55.75,8081.38,C,General San Martín,-58.56428216799652,-34.552771927080705
385,General Viamonte,22649.0,2145.28,10.56,I,General Viamonte,-61.04965723440119,-34.99777889141617
392,General Villegas,35251.0,7232.8,4.87,I,General Villegas,-62.95376490781935,-34.76871192027906
399,Guaminí,11801.0,4826.84,2.44,I,Guaminí,-62.41853106096796,-36.89067551095447
406,Hipólito Yrigoyen,10661.0,1629.01,6.54,I,Hipólito Yrigoyen,-61.66018762608905,-36.25918902073445
408,Hurlingham,185641.0,35.43,5239.66,C,Hurlingham,-58.64952538675535,-34.59928305531323
410,Ituzaingó,180232.0,38.24,4713.18,C,Ituzaingó,-58.68875951557909,-34.63607161201617
412,José C. Paz,326965.0,50.16,6518.44,C,José C. Paz,-58.77763459833175,-34.51185316281214
413,Junín,103787.0,2253.2,46.06,I,Junín,-61.00525012787072,-34.546475132400666
420,La Costa,100689.0,252.63,398.56,I,La Costa,-56.71594027517684,-36.69716782095072
427,La Matanza,1840868.0,329.22,5591.6,C,La Matanza,-58.62544569444762,-34.770348101664
441,La Plata,768403.0,942.23,815.52,C,La Plata,-58.01777778856708,-35.003847015806244
434,Lanús,461209.0,48.35,9538.97,C,Lanús,-58.39469650482231,-34.705654244172585
448,Laprida,11639.0,3454.98,3.37,I,Laprida,-60.7681481810556,-37.51650558510951
455,Las Flores,27234.0,3340.27,8.15,I,Las Flores,-59.17646094976033,-36.01582665716056
462,Leandro N. Alem,17266.0,1603.49,10.77,I,Leandro N. Alem,-61.61277710505372,-34.49841811623317
466,Lezama,6221.0,1035.39,6.01,I,Lezama,-57.89484438957691,-35.849208392140426
469,Lincoln,45506.0,5781.54,7.87,I,Lincoln,-61.6824583851243,-35.07044796967019
476,Lobería,18243.0,4755.67,3.84,I,Lobería,-58.693549778673294,-38.09005281868384
483,Lobos,41760.0,1724.35,24.22,I,Lobos,-59.14574188278556,-35.219585786144144
490,Lomas de Zamora,690167.0,87.3,7905.69,C,Lomas de Zamora,-58.42409543043943,-34.75496795553667
497,Luján,111008.0,777.13,142.84,I,Luján,-59.15845643998639,-34.56732241969334
505,Magdalena,26830.0,1785.29,15.03,I,Magdalena,-57.68612798174631,-35.185103070439375
