Región,id,Partido,Total de actividades,Productores de bienes,Agropecuario,Pesca,Minería,Industria,Electricidad,Construcción,Productores de servicios,Comercio,Hoteles y Restaurantes,Transp y Comunicaciones,Financiero,Inmob y empresariales,Público,Enseñanza,Salud,Comunit y Personales,longitud,latitud
C,749,San Fernando,45861,9213,199,21,120,7311,358,1201,36632,7068,2490,3970,995,4976,8830,3071,1963,3266,-58.53458165688239,-34.15583611197679
C,756,San Isidro,86257,16339,726,21,427,12646,524,1992,69867,12907,3620,8793,3275,9663,13859,9275,3221,5251,-58.53720907659796,-34.48689295456971
C,760,San Miguel,75990,15614,249,5,124,11532,386,3316,60355,8222,2007,6499,1663,6765,20227,6619,3928,4422,-58.69178352300796,-34.552134348760106
I,763,San Nicolás,39104,12315,175,4,89,8548,481,3014,26789,4296,640,3841,565,3217,8049,2524,1701,1951,-60.29313520389947,-33.482973203953385
I,770,San Pedro,14425,4597,1894,0,73,1996,275,356,9825,1733,386,916,221,729,4467,493,243,633,-59.78262676124897,-33.78098661235622
I,778,San Vicente,14129,3063,129,10,28,2020,116,759,11062,1300,361,1259,240,901,5056,571,596,773,-58.43181206032507,-35.071508716932144
I,784,Suipacha,2518,896,374,0,3,429,47,42,1622,257,14,130,51,97,820,146,46,58,-59.7033860486745,-34.7485741353289
I,791,Tandil,33373,6252,1943,8,156,2783,268,1092,27114,5650,1434,2216,737,1480,8666,3367,2277,1283,-59.18198278964916,-37.33642931678382
I,798,Tapalqué,2464,458,339,0,1,42,28,45,2006,171,7,55,72,67,1555,20,29,27,-60.1310650281927,-36.34714364042298
C,805,Tigre,98277,25859,450,26,323,20581,537,3940,72395,13840,4589,10673,1742,10914,15118,6571,3207,5739,-58.588173872599945,-34.38201990803981
I,812,Tordillo,870,145,111,0,0,4,5,23,725,24,5,60,4,40,569,1,7,12,-57.27381164494107,-36.390515121940616
I,819,Tornquist,3556,786,272,1,27,301,90,92,2770,411,173,166,48,115,1534,135,48,137,-62.29056599774858,-38.25764216358462
