,links,usuario,fecha,retweet,texto,comentarios,retweets,likes,quotes,hora,cuenta,autor
5901,https://twitter.com/PatoBullrich/status/1766898642634322003#m,Patricia Bullrich,2024-03-10,False,"por instruccion del presidente @jmilei, en rosario, ni un paso atras. manana estare en el terreno.",3043,7306,45040,596, 6:47 PM UTC,PatoBullrich,Patricia Bullrich
5902,https://twitter.com/PatoBullrich/status/1766859223558660384#m,Patricia Bullrich,2024-03-10,False,"reunida con la federacion nacional de peones de taxis alarmados por los asesinatos en rosario. les asegure que, junto al gobierno de santa fe, estamos trabajando con toda nuestra fuerza para cuidar a los trabajadores. no hay tregua: a fondo para detener la ola de violencia.",604,1285,6107,71, 4:10 PM UTC,PatoBullrich,Patricia Bullrich
5903,https://twitter.com/PatoBullrich/status/1766820642970849624#m,Patricia Bullrich,2024-03-10,False,"17 kilos de cocaina 2 narcos detenidos escondieron la droga en el tanque de nafta pero gendarmeria, con un perro y un scanner movil, les descubrio la ""avivada"" en salta. droga que se incauta, droga que se quema.",362,1712,7178,41, 1:37 PM UTC,PatoBullrich,Patricia Bullrich
5904,https://twitter.com/PatoBullrich/status/1766568139024629856#m,Patricia Bullrich,2024-03-09,False,"seducia hombres a traves de una aplicacion de citas, ganaba su confianza y cuando la invitaban a sus casas los drogaba y desvalijaba. esta ""viuda negra"" ya no pica. pfa la detuvo en villa zavaleta. !las hace, las paga!",320,1891,9071,62, 8:54 PM UTC,PatoBullrich,Patricia Bullrich
5905,https://twitter.com/PatoBullrich/status/1766464264808665380#m,Patricia Bullrich,2024-03-09,False,"1 operativo cerrojo 100 kg de droga 4 detenidos bajaban los bultos de una barcaza, los subian a un auto y escapaban con otro que hacia de puntero. pna los persiguio, cerco y atrapo cuando descargaban en una casa en misiones. no hay vuelta atras: !el que las hace, las paga!",198,1630,6712,20, 2:01 PM UTC,PatoBullrich,Patricia Bullrich
5906,https://twitter.com/PatoBullrich/status/1766208426328093044#m,Patricia Bullrich,2024-03-08,False,"comite de crisis para rosario es imperativo frenar la escalada de violencia en rosario y restablecer la seguridad interior. junto al gobernador pullaro, redoblaremos los esfuerzos de nuestras 5 fuerzas federales y la policia de santa fe y habilitamos la norma de seguridad interior que permite el apoyo logistico de las fuerzas armadas, a traves del ministro petri. el lunes, en conferencia de prensa, daremos a conocer el plan de refuerzo contra la narcocriminalidad. https://bit.ly/minseg_resol107",660,1941,8113,61, 9:04 PM UTC,PatoBullrich,Patricia Bullrich
5907,https://twitter.com/PatoBullrich/status/1766119951192989853#m,Patricia Bullrich,2024-03-08,False,las victimas nunca pueden ser victimarios a la policia yanina marotte la metieron presa por defenderse de dos delincuentes. anoche fue liberada. hoy la recibi para darle un abrazo y todo mi apoyo. siempre voy a estar del lado de los policias que defienden a la gente. mi compromiso: cuidar a quienes nos cuidan.,1596,7011,32175,387, 3:13 PM UTC,PatoBullrich,Patricia Bullrich
5908,https://twitter.com/PatoBullrich/status/1765948456722722829#m,Patricia Bullrich,2024-03-08,False,estamos para cuidar a quienes nos cuidan. la policia debe tener mayor proteccion. es la ley bases que enviamos al congreso. votenla diputados. por favor !!!!!,337,1970,8057,31, 3:51 AM UTC,PatoBullrich,Patricia Bullrich
5909,https://twitter.com/PatoBullrich/status/1765898586833727731#m,Patricia Bullrich,2024-03-08,False,la oficial de la pfa yanina marotte esta en libertad. nosotros cuidamos a los que nos cuidan.,1670,6712,46382,339, 12:33 AM UTC,PatoBullrich,Patricia Bullrich
5910,https://twitter.com/PatoBullrich/status/1765895424953532801#m,Patricia Bullrich,2024-03-08,False,"cosecha segura para poner el pais de pie presentamos cosecha segura, un programa para que los camiones se desplacen con velocidad y control, evitandoles asi horas de espera, robos y el boquilleo de los cereales que transportan. vamos a darle seguridad al campo para que desarrolle toda su capacidad productiva.",131,1142,4668,19, 12:20 AM UTC,PatoBullrich,Patricia Bullrich
