Transporte,Mercaderia,Puerto,Año,Porcentaje
Camiones,"Granos, derivados y subproductos",Quequén,2022,97
Camiones,Fertilizantes,Quequén,2022,3
Oleoducto/gasoducto,"Granos, derivados y subproductos",Quequén,2022,73
Oleoducto/gasoducto,Fertilizantes,Quequén,2022,16
Oleoducto/gasoducto,Combustibles líquidos,Quequén,2022,11
Oleoducto/gasoducto,Petróleo crudo,Coronel Rosales,2022,100
Camiones,"Granos, derivados y subproductos",Bahía Blanca,2022,98
Camiones,Prod. Minerales,Bahía Blanca,2022,1
Camiones,Carga general/ otros,Bahía Blanca,2022,1
Oleoducto/gasoducto,Combustibles líquidos,Bahía Blanca,2022,48
Oleoducto/gasoducto,Gases,Bahía Blanca,2022,50
Oleoducto/gasoducto,Prod.Químicos y petroquímicos,Bahía Blanca,2022,2
Camiones,"Granos, derivados y subproductos",Total,2021,59
Camiones,Fertilizantes,Total,2021,12
Camiones,Contenedores,Total,2021,17
Camiones,"Arena, Canto Rod. y otros",Total,2021,8
Camiones,Otras mercaderías,Total,2021,4
Oleoducto/gasoducto,Combustibles líquidos,Total,2021,72
Oleoducto/gasoducto,Gases,Total,2021,16
Oleoducto/gasoducto,Petróleo crudo,Total,2021,12
Tren,"Granos, derivados y subproductos",Total,2021,89
Tren,Otras mercaderías,Total,2021,11
Camiones,Prod.Siderúrgicos,San Nicolás,2021,48
Camiones,Prod. Minerales,San Nicolás,2021,47
Camiones,"Granos, derivados y subproductos",San Nicolás,2021,5
Camiones,"Granos, derivados y subproductos",San Pedro,2021,79
Camiones,"Arena, Canto Rod. y otros",San Pedro,2021,21
Camiones,Contenedores,Dock Sud,2021,75
Camiones,"Arena, Canto Rod. y otros",Dock Sud,2021,18
Camiones,Prod. Minerales,Dock Sud,2021,1
Camiones,Prod.Siderúrgicos,Dock Sud,2021,6
Oleoducto/gasoducto,Combustibles líquidos,Dock Sud,2021,73
Oleoducto/gasoducto,Petróleo crudo,Dock Sud,2021,25
Oleoducto/gasoducto,Gases,Dock Sud,2021,2
Camiones,"Arena, Canto Rod. y otros",La Plata,2021,94
Camiones,Contenedores,La Plata,2021,6
Oleoducto/gasoducto,Combustibles líquidos,La Plata,2021,95
Oleoducto/gasoducto,Prod.Químicos y petroquímicos,La Plata,2021,5
Tren,Prod.Químicos y petroquímicos,La Plata,2021,100
Camiones,Pescado fresco,Mar del Plata,2021,54
Camiones,Contenedores,Mar del Plata,2021,19
Camiones,Pescado congelado,Mar del Plata,2021,14
Camiones,Moluscos y demás invertebrados acuáticos,Mar del Plata,2021,13
Oleoducto/gasoducto,Combustibles líquidos,Mar del Plata,2021,100
Camiones,"Granos, derivados y subproductos",Quequén,2021,94
Camiones,Fertilizantes,Quequén,2021,6
Oleoducto/gasoducto,Aceites vegetales y grasas animales,Quequén,2021,64
Oleoducto/gasoducto,Fertilizantes,Quequén,2021,26
Oleoducto/gasoducto,Combustibles líquidos,Quequén,2021,10
Oleoducto/gasoducto,Petróleo crudo,Coronel Rosales,2021,100
Camiones,"Granos, derivados y subproductos",Bahía Blanca,2021,94
Camiones,Fertilizantes,Bahía Blanca,2021,4
Camiones,Contenedores,Bahía Blanca,2021,1
Camiones,Prod. Minerales,Bahía Blanca,2021,1
Oleoducto/gasoducto,Gases,Bahía Blanca,2021,50
Oleoducto/gasoducto,Combustibles líquidos,Bahía Blanca,2021,49
Oleoducto/gasoducto,Prod.Químicos y petroquímicos,Bahía Blanca,2021,1
Tren,"Granos, derivados y subproductos",Bahía Blanca,2021,100
