Partido,Total de actividades,Productores de bienes,Agropecuario,Pesca,Minería,Industria,Electricidad,Construcción,Productores de servicios,Comercio,Hoteles y Restaurantes,Transp y Comunicaciones,Financiero,Inmob y empresariales,Público,Enseñanza,Salud,Comunit y Personales
Salto,9091,4000,1521,0,5,2189,134,150,5091,1612,94,348,129,360,1994,181,177,191
San Andrés de Giles,5700,1948,439,1,2,1312,31,161,3751,581,64,213,83,230,2006,321,114,135
San Antonio de Areco,6852,2252,809,0,18,1107,139,176,4599,794,193,207,114,298,1151,237,222,1379
San Cayetano,1844,415,247,0,6,76,62,23,1428,228,21,61,35,59,880,67,37,37
San Fernando,47185,9471,201,25,125,7434,348,1335,37685,7428,2898,4020,963,4992,9006,3141,1957,3277
San Isidro,87324,16546,734,24,443,12712,525,2104,70715,13419,4052,8731,3153,9695,13965,9206,3246,5245
San Miguel,78481,16362,243,4,138,11998,384,3592,62083,8645,2432,6686,1637,7021,20556,6720,4014,4368
San Nicolás,40094,12660,191,5,106,8461,497,3396,27425,4537,755,4051,565,3347,7937,2540,1764,1925
San Pedro,14797,4628,1815,0,74,2115,272,350,10163,1826,388,953,217,766,4626,503,232,648
San Vicente,14973,3246,134,9,28,2088,123,860,11710,1402,440,1323,239,923,5188,606,825,761
Suipacha,2599,919,365,0,3,442,46,62,1679,265,14,144,49,100,837,156,54,56
Tandil,34543,6585,1944,6,160,2963,271,1239,27944,5969,1591,2288,718,1544,8820,3389,2350,1271
Tapalqué,2598,460,348,0,2,40,29,38,2137,183,13,63,73,64,1649,26,31,31
Tigre,102383,27182,429,28,331,21572,551,4268,75151,14764,5233,10851,1696,11146,15559,6770,3305,5822
Tordillo,885,153,109,0,1,6,5,30,731,24,4,58,4,32,588,1,8,9
Tornquist,3665,773,255,1,27,315,90,82,2892,428,195,176,46,116,1598,143,48,138
Trenque Lauquen,11709,2485,1227,0,20,772,190,274,9219,1880,188,614,305,402,4642,694,272,219
Tres Arroyos,13400,3248,954,1,38,1556,268,428,10151,2256,296,569,430,707,3785,700,884,518
Tres de Febrero,112327,27125,206,16,241,23061,669,2929,85139,15577,3792,11058,3517,9447,21071,7998,6520,6156
Tres Lomas,1744,324,223,0,2,59,26,12,1420,206,19,64,37,47,965,32,20,25
25 de Mayo,7792,1818,1078,1,13,504,86,134,5972,862,56,328,129,254,3538,316,191,296
Vicente López,79741,14527,278,23,444,11851,462,1466,65146,11302,2785,8319,3488,8229,14160,8683,3586,4589
Villa Gesell,8591,676,35,5,1,266,178,188,7910,1416,1257,330,106,462,2811,462,124,940
Villarino,6528,1753,851,0,141,344,141,273,4772,868,79,350,69,250,2754,170,89,138
Zárate,35630,13885,251,0,375,8691,1430,3135,21738,2503,710,4055,435,4237,6073,1450,1179,1093
